Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.402088,0.2982957,0.2755408,0.2399468,0.3092844,0.2316787,0.2456169,0.2011544,0.2608052,0.2832695,0.2582941
0.4048096,0.2962848,0.2801907,0.2342568,0.3183082,0.2448527,0.2510901,0.2138894,0.2646067,0.2815254,0.2605417
0.4121142,0.319897,0.2719517,0.2411283,0.3259144,0.2357314,0.2555712,0.215913,0.249785,0.2765481,0.239701
0.4099654,0.3200006,0.2929747,0.2374592,0.3111752,0.2117837,0.2552618,0.2286184,0.252157,0.2782142,0.2645899
0.400572,0.3143958,0.275723,0.2409712,0.3176098,0.2248027,0.2504124,0.2102833,0.2614992,0.2786398,0.2498708
0.3890303,0.3089516,0.2750673,0.2417036,0.3215739,0.2186975,0.24902,0.2245059,0.2607836,0.2868488,0.2400336
0.3913703,0.2862992,0.2757894,0.2305158,0.3265213,0.208197,0.2521323,0.228639,0.2685225,0.2851374,0.2336353
0.3758751,0.311964,0.2988937,0.2319304,0.3070432,0.2040803,0.2453699,0.2161216,0.25093,0.2986658,0.239757
0.3684324,0.3083549,0.2833552,0.2413688,0.2934457,0.2081276,0.2548397,0.2122213,0.2572188,0.2850619,0.2492956
0.3668349,0.3359679,0.2949495,0.2407739,0.3145825,0.2311465,0.2487477,0.2127395,0.2658866,0.3128929,0.2395837
0.3621397,0.3311849,0.3066126,0.242299,0.326345,0.2294117,0.2318476,0.2088851,0.2634705,0.3071504,0.2469178
0.3716067,0.3345416,0.2810989,0.2323055,0.3171369,0.2319225,0.2355467,0.2157438,0.2627246,0.3297017,0.2474202
0.3906383,0.3168414,0.2810756,0.2501636,0.3046259,0.2258901,0.2379716,0.2232987,0.2554601,0.321682,0.2737089
0.3790625,0.3294214,0.2928586,0.2376604,0.2932009,0.236994,0.2319257,0.2167727,0.2442496,0.3185054,0.2699415
0.383756,0.3177735,0.2978589,0.2376707,0.3033511,0.2378001,0.240174,0.207831,0.2534368,0.3193716,0.2574792
0.3864114,0.3323813,0.2920986,0.2509119,0.3019993,0.2310767,0.2516139,0.2128049,0.2550757,0.3476406,0.2696468
0.3786315,0.3241335,0.3053523,0.2424608,0.3097703,0.2360831,0.238015,0.2253679,0.2619412,0.3325696,0.2507074
0.3621559,0.2990535,0.2862631,0.2372255,0.3102239,0.2368855,0.2504275,0.2336313,0.266234,0.3325592,0.2233485
0.3763629,0.3287533,0.2895587,0.2421467,0.3105979,0.2509805,0.2556274,0.2153821,0.265953,0.3291156,0.2376453
0.3708562,0.3113081,0.2785647,0.2385657,0.318631,0.2370259,0.2491434,0.215505,0.2665664,0.3435454,0.2437593
0.365353,0.3210655,0.2900441,0.248631,0.3150234,0.2340665,0.2480819,0.2255801,0.2712944,0.3244984,0.2506664
0.3624324,0.3132229,0.280664,0.2399833,0.3386855,0.2231966,0.2452554,0.2056923,0.274009,0.3246871,0.2827338
0.3689623,0.30954,0.2855755,0.2431086,0.3259039,0.2273931,0.2353797,0.2150439,0.2667972,0.3427178,0.2749958
