Delta-AY.119,Isolate 2,Isolate 1,Isolate 3,Isolate 4
0.4080699,0.3740198,0.2723599,0.2694,0.3091849
0.4117713,0.3615485,0.2685426,0.2905226,0.3049516
0.4145386,0.3476041,0.2563513,0.2822392,0.310066
0.408156,0.3492312,0.2829855,0.2891018,0.3066185
0.4360658,0.3464604,0.2699502,0.2774109,0.3141921
0.4158384,0.348415,0.2679152,0.2929688,0.3093918
0.4270016,0.3489204,0.2973445,0.2762633,0.3145536
0.4260763,0.3617385,0.3100506,0.2736072,0.2955483
0.4470851,0.342126,0.2791466,0.257263,0.3099103
0.4416879,0.3422667,0.2839011,0.2502458,0.3169167
0.4464757,0.3422401,0.2744134,0.2641114,0.3094904
0.4150333,0.3303163,0.2764926,0.2681234,0.3005344
0.4012885,0.3486691,0.281424,0.2766646,0.3120485
0.4027422,0.3567357,0.286211,0.2759326,0.3393051
0.3890487,0.35415,0.2953837,0.2674533,0.3333587
0.4056009,0.3589222,0.2824622,0.2769998,0.3174153
0.4183832,0.3506851,0.2802825,0.2736852,0.316529
0.4209869,0.3570868,0.2934228,0.2822492,0.3245153
0.4103277,0.3625348,0.2872121,0.2755546,0.3391309
0.4026783,0.3617313,0.2850598,0.2665521,0.3155347
0.3882008,0.3614528,0.291565,0.2584643,0.3193203
0.4014622,0.3688985,0.2819369,0.2752033,0.3207827
0.4046477,0.354955,0.2759853,0.2636639,0.3421952
0.383921,0.3636128,0.2708949,0.2912749,0.3302095
0.4037172,0.372654,0.2717719,0.2874611,0.3261348
0.3850412,0.3441683,0.2749435,0.2862221,0.326432
0.4077015,0.3516288,0.2881764,0.2926086,0.324524
0.3914138,0.3524674,0.2809185,0.2806594,0.3154872
0.4037821,0.3633114,0.2868446,0.2753537,0.3218332
0.4023432,0.3475821,0.2868409,0.2807865,0.3307855
0.3986988,0.3531149,0.2922421,0.2689821,0.3194937
0.3949995,0.3497882,0.2897261,0.2614313,0.3269617
0.3818237,0.3510089,0.3021995,0.2665591,0.3314587
0.3839707,0.3351859,0.3009323,0.2647236,0.3238567
0.3986785,0.340839,0.3141121,0.2745992,0.3221893
0.3825105,0.3423238,0.2980283,0.2640544,0.3291084
0.3799529,0.3364559,0.2824465,0.2675289,0.3201883
0.4019619,0.3430032,0.2735364,0.2750658,0.3324008
0.3965329,0.3383349,0.2778551,0.2730198,0.3238078
0.398415,0.3555429,0.2834249,0.2858207,0.31519
0.3869436,0.3696057,0.3116281,0.2676871,0.3124126
0.3860413,0.3607871,0.2830168,0.2812126,0.3219387
0.3778318,0.3442193,0.2906507,0.2743374,0.32627
0.3721094,0.3606246,0.310835,0.2595606,0.3122688
0.3716044,0.3498732,0.3238502,0.2481257,0.3264358
0.3578559,0.3406976,0.3073128,0.2559191,0.3213897
0.3553725,0.3516732,0.318287,0.2433689,0.3259189
0.343575,0.3439928,0.3162144,0.2499646,0.3348356
0.3662713,0.3490372,0.3193973,0.2549885,0.3370908
