Delta-AY.119,Isolate 2,Isolate 1,Isolate 3,Isolate 4
0.2935063,0.5541668,0.5929562,0.5249464,0.7054477
0.2904393,0.562576,0.5930673,0.5177554,0.6865293
0.2787918,0.553488,0.5975946,0.5418816,0.6743373
0.2910872,0.5570613,0.6198275,0.5309345,0.6807082
0.2879547,0.5737481,0.5902656,0.5155824,0.7052415
0.2880563,0.5548286,0.6300532,0.5368584,0.710289
0.2841949,0.5589808,0.6371252,0.5361531,0.7280631
0.2770079,0.5395741,0.6802763,0.5241517,0.7353068
0.274532,0.542039,0.6810582,0.5275519,0.7394291
0.2777111,0.5597529,0.7025596,0.5425801,0.7543615
0.2763851,0.5622626,0.6735659,0.5250866,0.755715
0.2870221,0.5463737,0.6715488,0.5241586,0.7655318
0.2894136,0.5494736,0.6637942,0.5363011,0.7588879
0.2968715,0.5486874,0.6825976,0.5147802,0.7591573
0.3033773,0.5563484,0.7125494,0.5029913,0.7891753
0.2909301,0.5619376,0.6974462,0.5183788,0.7870705
0.2913833,0.5405881,0.6552975,0.5140179,0.7588892
0.2947446,0.5605436,0.6335312,0.5277628,0.7288117
0.2984675,0.5586852,0.6196994,0.5200418,0.731601
0.2852992,0.5689942,0.6017134,0.5168931,0.7088715
0.2825417,0.5660282,0.6130977,0.499757,0.7079167
0.2850402,0.5798144,0.6129255,0.4911698,0.7104183
0.2867897,0.5808032,0.6325563,0.49496,0.714987
0.2867484,0.5891976,0.6429885,0.518289,0.7010213
0.2935402,0.5690485,0.6370182,0.5256799,0.6939359
0.291705,0.5669466,0.6400694,0.5213228,0.6669461
0.297144,0.5514005,0.6320866,0.5155061,0.6764377
0.2849944,0.5571122,0.6089509,0.5211974,0.6919461
0.286116,0.5710029,0.620963,0.536065,0.64738
0.3011008,0.5643083,0.6161584,0.5443982,0.6301367
0.3040981,0.5700077,0.6229566,0.5582241,0.6287032
0.2942524,0.5645545,0.6394963,0.5608276,0.6510754
0.3056071,0.5809389,0.673939,0.5315736,0.6559417
0.3088493,0.5759416,0.6838065,0.5190647,0.6760503
0.3073373,0.5686656,0.6945538,0.525526,0.6486909
0.3058941,0.5831894,0.6596168,0.5193243,0.6484784
0.3102214,0.582989,0.6621839,0.5185063,0.6514351
0.3104327,0.5826836,0.7033367,0.53611,0.6489559
0.3202748,0.5791644,0.6755275,0.5401011,0.6704463
0.3100562,0.5897512,0.6748711,0.5469792,0.6883888
0.3072528,0.5975598,0.6912967,0.5226229,0.6776205
0.3115349,0.584345,0.6912099,0.5376227,0.6543497
0.3076092,0.588846,0.6983805,0.5237113,0.6388557
0.3039295,0.5959335,0.6897569,0.5320976,0.6273229
0.2961483,0.5883274,0.673519,0.5098522,0.6596137
0.2986974,0.5819476,0.6789506,0.5305238,0.6641927
0.2871247,0.5998055,0.6659676,0.5147455,0.6647512
0.2972619,0.6076926,0.6696202,0.524798,0.6343696
0.306064,0.5828052,0.7170391,0.5198277,0.6303944
0.3045839,0.5662515,0.7071158,0.5177865,0.6327605
0.3171561,0.5359065,0.7161919,0.5017739,0.6251711
0.3181133,0.543879,0.720728,0.5077393,0.6113047
0.315122,0.5565161,0.692924,0.5132033,0.6147975
0.3212179,0.5367182,0.6895273,0.5104042,0.6013461
0.3146592,0.5317652,0.6647941,0.521193,0.6122246
0.314499,0.5401562,0.6682348,0.5381423,0.6146803
0.3095697,0.5457235,0.671941,0.5443034,0.6244126
0.3136242,0.5587218,0.6891796,0.5766805,0.6050808
0.303208,0.56577,0.6564116,0.5964077,0.615851
0.3073883,0.5688543,0.6692039,0.5648725,0.6272069
0.316729,0.5770185,0.6930202,0.5483621,0.6133856
0.3224572,0.5767369,0.6856497,0.5307847,0.6218598
0.3195053,0.5765442,0.6815661,0.5518441,0.638258
0.3176701,0.5896649,0.7007041,0.5429472,0.670512
0.3152487,0.5873391,0.7166448,0.5534027,0.6839809
0.3209437,0.5659749,0.7170534,0.5500188,0.7106199
0.3300504,0.5637691,0.7243602,0.5493381,0.6967143
0.3177127,0.5604234,0.751426,0.5387551,0.6797064
0.3177377,0.5605833,0.7225414,0.552363,0.6851226
0.3275748,0.5738595,0.7403007,0.5525146,0.6888481
0.3312903,0.6130649,0.7387998,0.5469555,0.7046546
0.3313397,0.6052642,0.7327718,0.5469774,0.6975285
0.3207226,0.6070924,0.7521968,0.5520389,0.7172421
0.3257727,0.6228953,0.7259367,0.548178,0.698849
0.3262101,0.6287084,0.7084253,0.559742,0.7150781
0.3205564,0.6320195,0.6987826,0.5445114,0.6903828
0.3144856,0.6437694,0.7225573,0.5545202,0.6678747
0.3196799,0.6210534,0.7068635,0.5550975,0.6674977
0.331059,0.6204169,0.7273781,0.5608716,0.6641005
0.3298977,0.6170194,0.7409112,0.5789955,0.664508
0.3375773,0.6292376,0.7693324,0.5697591,0.6869207
0.3373977,0.6226755,0.7846886,0.5838816,0.70921
0.3268228,0.6311227,0.7643433,0.5912555,0.7092447
0.3326488,0.6437665,0.7597541,0.594367,0.7051041
0.3349026,0.625933,0.7544523,0.5821968,0.7308791
0.3451439,0.6405286,0.7497832,0.5745082,0.7450746
0.3388054,0.6453533,0.7506561,0.5822228,0.7034722
0.3281605,0.6402451,0.7678936,0.5885801,0.6756276
0.336772,0.6482565,0.7205145,0.5859793,0.6629179
0.3487982,0.6298397,0.7098615,0.5688168,0.6666526
0.3311021,0.6018504,0.7136123,0.5540367,0.6519577
0.3280626,0.621826,0.6943746,0.5489219,0.6492959
0.337654,0.5819255,0.6889375,0.5401235,0.6596543
0.3345857,0.5801914,0.7039475,0.5340445,0.656773
0.3245395,0.5760144,0.6986571,0.5441616,0.6725189
0.3212264,0.5676886,0.7094766,0.5424852,0.6478204
0.3175994,0.5766569,0.7243019,0.5264889,0.6434566
0.3172803,0.5870417,0.7362691,0.5230599,0.6607013
0.3161798,0.5905137,0.7212938,0.523316,0.665828
0.3226215,0.5903939,0.7168245,0.5194426,0.6712553
0.3197112,0.5842585,0.7036065,0.5341786,0.6601806
0.313235,0.5851147,0.6951748,0.5707573,0.6666068
0.3372192,0.6011965,0.6741296,0.5505885,0.6610193
0.3288442,0.5878823,0.6393386,0.5522177,0.6727452
0.3260999,0.5628293,0.6547976,0.5355228,0.673441
0.3200959,0.5699904,0.662329,0.540786,0.6877576
0.3173112,0.5768437,0.6556482,0.542865,0.6879691
0.3116802,0.5753015,0.6785547,0.5197905,0.6791816
0.314779,0.5808499,0.6780701,0.5263088,0.6918327
0.3169614,0.5967328,0.7046261,0.5198873,0.7061661
0.3170374,0.5956335,0.702808,0.5287736,0.6928883
0.3244847,0.5751826,0.6955873,0.5381333,0.7364647
0.3288855,0.5750784,0.7246542,0.5312543,0.7398869
0.3204212,0.5810249,0.7333441,0.5192556,0.7259067
0.3270048,0.5944807,0.7465369,0.5298176,0.7145405
0.3277639,0.588729,0.7451183,0.5316742,0.7422211
0.3252011,0.5845063,0.7185328,0.5311263,0.7492587
0.3289131,0.5955945,0.7186742,0.5338094,0.7245996
0.3301067,0.5704682,0.7785094,0.5305557,0.7134458
0.329978,0.5844318,0.8068587,0.5413412,0.6803294
0.3292657,0.6011987,0.7797971,0.5517321,0.6994296
0.3248188,0.5959718,0.7923275,0.5333055,0.6978027
0.3316564,0.6014599,0.815843,0.5334872,0.6819226
0.3378429,0.5909692,0.8376229,0.5284465,0.6692454
0.3397942,0.5755529,0.8522711,0.5396163,0.6623883
0.33161,0.5567273,0.8485811,0.5339764,0.6820774
