Delta-AY.119,Isolate 1,Isolate 2,Isolate 3,Isolate 4
0.2244899,0.2776591,0.2403229,0.2101363,0.2700238
0.2300536,0.2752782,0.2409438,0.2270983,0.2870645
0.2400806,0.2810203,0.246233,0.2149847,0.2789215
0.2327855,0.2826597,0.2481505,0.2284867,0.2688083
0.2331018,0.2819347,0.2367104,0.240935,0.2817254
0.2277022,0.2848262,0.2365015,0.2370346,0.273736
0.2314533,0.2811682,0.2412326,0.2605311,0.2816683
0.2139627,0.2886443,0.23293,0.2391159,0.2835724
0.2141966,0.2822426,0.2404778,0.2365797,0.2775246
0.2230439,0.2768191,0.2414426,0.2343445,0.2767879
0.2304287,0.2738663,0.229253,0.2431792,0.2876655
0.2350094,0.2795982,0.2539736,0.2408872,0.2801708
0.2319806,0.2869622,0.239543,0.2448803,0.2765014
0.2220752,0.289948,0.2331463,0.2222341,0.2858283
0.2361385,0.2844605,0.2244276,0.2319324,0.2831343
0.2305248,0.2797934,0.2256023,0.2261796,0.2766505
0.2194248,0.275811,0.2263188,0.2172473,0.2781751
0.2299352,0.2754146,0.2426159,0.2301249,0.2721408
0.2383315,0.2766479,0.243832,0.2211801,0.262274
0.2362394,0.2688499,0.2331306,0.230969,0.2727219
0.2260639,0.2740047,0.2506774,0.2352932,0.2686804
0.2108907,0.2861191,0.2400962,0.241492,0.2631029
0.2118337,0.2763541,0.2422538,0.2310952,0.274385
0.2179235,0.2729788,0.2515071,0.2240588,0.2627952
0.2229408,0.278689,0.2449303,0.238147,0.2657393
0.2179043,0.2743227,0.2489405,0.2421317,0.2692701
0.2181654,0.2827116,0.2360643,0.2340848,0.2753949
0.2239644,0.2777051,0.2494068,0.231263,0.2647065
0.2340598,0.2892245,0.2419477,0.2375707,0.2666719
0.2333865,0.2825095,0.2422191,0.2496065,0.2667504
0.2234289,0.2799731,0.2405204,0.2465191,0.2759542
0.2288918,0.2757758,0.2448729,0.2365219,0.2772347
0.2250287,0.2888631,0.2485207,0.2376921,0.2715559
0.2302666,0.2799955,0.2464551,0.2430106,0.2751848
0.2448954,0.2744269,0.2420722,0.2279093,0.2648833
0.2444735,0.272624,0.234604,0.2280369,0.2617303
0.2335504,0.2772259,0.2446516,0.2212195,0.2665887
0.2326451,0.2777463,0.2376589,0.2261208,0.2748559
0.2342679,0.2730311,0.2551476,0.2314034,0.2832195
0.2406567,0.2859388,0.2434361,0.2249449,0.2710827
0.2225855,0.2804205,0.2465397,0.2265538,0.27179
0.227781,0.2762043,0.2398733,0.2355918,0.2713554
0.2409644,0.2799236,0.2379503,0.2332362,0.2697209
0.2387167,0.2781355,0.241243,0.2344549,0.2763316
0.2339624,0.2608516,0.2411415,0.2399759,0.2744975
0.2338637,0.2709785,0.2493027,0.2304361,0.2655337
0.2408354,0.2642805,0.25317,0.2369151,0.2710339
0.2345664,0.2652306,0.2400455,0.2345496,0.2750879
0.2371023,0.2601671,0.238424,0.2275401,0.2730533
0.2183768,0.2575295,0.240153,0.230341,0.2802364
0.2308357,0.2761472,0.2542481,0.2352001,0.2793789
0.2429908,0.27528,0.2524892,0.2363671,0.2702805
0.228008,0.2896161,0.2455028,0.2338166,0.270024
0.2317094,0.2973048,0.2466771,0.2326575,0.2706582
0.2451459,0.3014502,0.2564543,0.2269952,0.2656791
0.2441228,0.2882577,0.2567214,0.2270145,0.2796199
0.2302834,0.2840684,0.2435203,0.2292968,0.2718453
0.2418479,0.2923312,0.2456181,0.2190883,0.2666978
0.2333868,0.2874334,0.2569634,0.2335972,0.2640207
0.2294255,0.2860205,0.2593605,0.2323436,0.2621557
0.2300987,0.2837128,0.2616084,0.2339878,0.2609559
0.2419839,0.2848706,0.249785,0.2477399,0.2704419
0.2293512,0.2936039,0.2485845,0.2387319,0.2812585
0.238427,0.2854882,0.2333564,0.2419807,0.2721531
0.232835,0.273551,0.2442999,0.2610045,0.2811983
0.2398294,0.2870748,0.2429386,0.2438831,0.272155
0.2457436,0.3040132,0.2398416,0.2573321,0.2834392
0.2442852,0.2941647,0.2535189,0.2472546,0.2742973
0.2416548,0.2705147,0.2502842,0.248421,0.2654083
0.2403873,0.2716357,0.2357839,0.2373814,0.268958
0.2445577,0.278777,0.2376887,0.2387449,0.2732489
0.2296386,0.2829109,0.2480813,0.2505466,0.2756464
0.2379057,0.2771234,0.2509853,0.2536667,0.2773215
0.2299989,0.2888865,0.2492541,0.2408093,0.2714686
0.2346023,0.2840856,0.2466541,0.2464363,0.2704353
0.2177838,0.2822056,0.2553599,0.235216,0.2634328
0.2292214,0.2704534,0.2566608,0.2513174,0.2671525
0.2377651,0.2820017,0.2494873,0.2400541,0.2688159
0.2339424,0.2800884,0.2551779,0.238653,0.2780963
0.227811,0.3026169,0.2510279,0.2482267,0.2748927
0.2251939,0.2870432,0.2525975,0.2527367,0.2732259
0.2275133,0.2892923,0.2507103,0.2467289,0.2689749
0.2185333,0.2902514,0.2508041,0.2635843,0.2680477
0.2335125,0.2960199,0.2447058,0.2559548,0.2747211
0.2251867,0.2923573,0.2447571,0.2699756,0.280262
0.2173279,0.2877412,0.239018,0.2653218,0.2726662
0.2285141,0.2841665,0.2562162,0.2584772,0.2732649
