Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.4715237,0.7945231,0.7611098,0.7236196,0.5185679,0.5772721,0.6862409,0.8112553,0.6517752,0.6219697,0.5949419
0.4763293,0.8068653,0.7662519,0.7318163,0.5021977,0.5817904,0.6999757,0.8057916,0.632999,0.6166278,0.6129313
0.4859752,0.8044621,0.768703,0.7283879,0.5136815,0.5996882,0.7091521,0.8076929,0.627758,0.6035641,0.6100872
0.4904841,0.7937869,0.7719907,0.7334346,0.5256296,0.5930646,0.7199203,0.7991539,0.6376168,0.6001182,0.6238375
0.5010152,0.7848771,0.7883358,0.7122054,0.5220321,0.6075689,0.7176324,0.816363,0.6404018,0.6056828,0.6100159
0.5105173,0.7832585,0.7924615,0.7183225,0.5078359,0.6373734,0.7159253,0.8125068,0.6601985,0.6287936,0.6079157
0.5160261,0.8029757,0.8186287,0.7042479,0.5255926,0.6538722,0.7097558,0.8210951,0.6863165,0.6499215,0.6112733
0.5083854,0.8061522,0.8445605,0.6866696,0.5466312,0.6601179,0.7281303,0.8294062,0.6844219,0.6464851,0.6053627
0.5033628,0.8025066,0.8840256,0.6964371,0.5960157,0.6520172,0.7426508,0.8238564,0.6770526,0.6486197,0.6247793
0.4998337,0.7999077,0.8818706,0.6913649,0.5822649,0.6559012,0.7380164,0.8244555,0.672798,0.6530586,0.6413406
0.4923023,0.8021638,0.8885421,0.695919,0.5753657,0.6544323,0.751369,0.8187289,0.6611438,0.6525733,0.6157935
0.4738163,0.8098751,0.9188895,0.7000346,0.5824462,0.6265908,0.754721,0.835231,0.6627394,0.6406689,0.6341113
0.4672605,0.8093391,0.9160591,0.6735471,0.5974966,0.6319093,0.7856511,0.8480907,0.667021,0.6253923,0.6218422
0.4710506,0.8183716,0.9211398,0.6774312,0.6049405,0.66696,0.7851149,0.8348646,0.6553679,0.5952464,0.6210002
0.4510695,0.7947928,0.919029,0.6850739,0.6078781,0.6859664,0.7698129,0.8463354,0.6552681,0.5902446,0.6295211
0.4606582,0.79983,0.9113871,0.7076058,0.6091389,0.7001479,0.7860346,0.8545355,0.6632403,0.56372,0.629189
0.4840604,0.7994671,0.8929,0.6885683,0.5935546,0.7031506,0.801389,0.8759114,0.6675168,0.5521135,0.5945449
0.4985514,0.7994129,0.8807192,0.6918879,0.5985246,0.7327598,0.7901245,0.9002399,0.6780518,0.5299913,0.5923787
0.496912,0.7944469,0.8665583,0.7115173,0.6185685,0.7454025,0.7796999,0.9225471,0.6708884,0.5115402,0.5988883
0.5043494,0.8176548,0.8567694,0.7138961,0.6382943,0.751709,0.7888168,0.9358484,0.682071,0.5063277,0.6078261
0.5119906,0.8388551,0.8735847,0.7243105,0.6488754,0.7597268,0.7668331,0.9542519,0.6854222,0.5072077,0.604493
0.5250442,0.8395228,0.8803989,0.7091355,0.6378919,0.7873619,0.7578807,0.9724603,0.7080663,0.4867483,0.5678161
0.5301636,0.8660596,0.8669967,0.694792,0.6590427,0.7636713,0.7625773,0.9723029,0.6944012,0.4866612,0.5484078
0.5318077,0.8614815,0.8704147,0.6914083,0.6734848,0.7659627,0.7676633,0.9769194,0.7085776,0.5072998,0.5368911
0.5386065,0.8684015,0.891039,0.7046686,0.6846699,0.7805842,0.7622154,0.9762078,0.7087479,0.5148189,0.550154
0.530441,0.8509257,0.8861959,0.7205907,0.6804023,0.7819831,0.7486898,0.9538514,0.7137899,0.5262769,0.5264178
0.5263833,0.8584522,0.8716242,0.7295547,0.7124033,0.7758814,0.7648429,0.9222355,0.7058977,0.527415,0.5367038
0.513732,0.8722976,0.8871512,0.7211388,0.7152261,0.7933264,0.7419424,0.9205075,0.7403647,0.5074698,0.538231
0.515025,0.872695,0.8934258,0.7213247,0.7136607,0.8134012,0.7462082,0.9156163,0.738362,0.5063745,0.5356731
0.5043164,0.8853849,0.8741405,0.7064821,0.6842579,0.8305694,0.7514451,0.9178984,0.7250343,0.5133195,0.5536185
