Delta-AY.119,Isolate 1,Isolate 2,Isolate 3,Isolate 4
0.457978,0.8469751,0.907464,0.9802145,1.2117637
0.4581227,0.862726,0.8954489,0.9987283,1.209193
0.4661368,0.8779342,0.89532,0.9912886,1.2266226
0.4643072,0.8705559,0.897894,1.0135394,1.2385339
0.4779727,0.8719074,0.8784142,1.0028771,1.2426242
0.4894305,0.859688,0.8684124,0.9771117,1.2469712
0.488745,0.8499066,0.8783227,0.9690227,1.2499698
0.4858576,0.8207388,0.8720335,0.9684729,1.2648104
0.4887913,0.8303877,0.8463618,0.9898934,1.2845931
0.495825,0.8348364,0.8689994,0.987425,1.2733045
0.4984799,0.8147585,0.8622094,0.9772995,1.2637317
0.4916868,0.8036796,0.887337,1.0041137,1.2751627
0.4934409,0.8173896,0.8734028,1.0532407,1.2719526
0.4843727,0.8180059,0.8712111,1.0900322,1.2788217
0.4876195,0.8099326,0.8512449,1.1351758,1.2724577
0.4823252,0.8290715,0.8474815,1.1456891,1.2680597
0.489721,0.8252177,0.874891,1.1361862,1.2789178
0.4956148,0.8251462,0.881073,1.1264739,1.2706228
0.5052825,0.8270066,0.8939011,1.1287612,1.2509111
0.50318,0.8331468,0.9011717,1.1372178,1.2257395
0.5223176,0.8271593,0.8903818,1.1375222,1.2352041
0.519293,0.8094067,0.8781329,1.1797932,1.2370467
0.5242966,0.7920274,0.8754123,1.2231981,1.244656
0.5258445,0.7791294,0.8832663,1.2414131,1.218941
0.5186535,0.796087,0.8937165,1.264491,1.2242068
0.5290415,0.7876533,0.8827954,1.2841878,1.2020404
0.529322,0.7788822,0.8850768,1.2773213,1.1954864
0.5447871,0.7887645,0.8739907,1.3096802,1.1961813
0.5627075,0.7779167,0.8865055,1.2946454,1.1995718
0.5779673,0.7723975,0.8582308,1.2905788,1.2256945
0.5744661,0.746896,0.8495997,1.281243,1.2288494
0.5746871,0.7450837,0.8716458,1.2680997,1.2287773
0.5933377,0.7370384,0.8934342,1.2475699,1.2132202
0.5944274,0.7055852,0.9101797,1.2560829,1.2239809
0.6021206,0.7043927,0.9048213,1.2461772,1.2345245
0.608882,0.6895334,0.8995045,1.2436031,1.2535653
0.6067522,0.6758914,0.9437063,1.2320882,1.2843271
0.6169629,0.668802,0.9693303,1.2487152,1.3132108
0.6197859,0.640901,0.9788254,1.2519957,1.3333817
0.6128733,0.6129836,0.979381,1.2629482,1.325243
0.6046161,0.6063987,0.9800446,1.2454939,1.3112669
0.5856724,0.6087487,1.0046999,1.2325346,1.2994409
0.5786511,0.5931903,1.0171192,1.2564858,1.3083621
0.5905175,0.6029676,1.0243503,1.2394789,1.3081713
0.5900998,0.6096747,1.0201795,1.2181771,1.2962133
0.5869451,0.6146238,1.0011264,1.2107855,1.3235306
0.5928537,0.6138521,1.0055273,1.1902922,1.3423675
0.5961552,0.6131811,1.0061448,1.1664696,1.3660364
0.5973877,0.6214114,0.9955322,1.1549819,1.3952986
0.6091086,0.6115362,1.003767,1.1290109,1.3982728
0.6109031,0.5994051,1.0091811,1.1127114,1.3665351
0.5958698,0.6057951,1.0034721,1.1102968,1.3643528
0.5887238,0.5915233,1.041677,1.1150485,1.360604
0.5849931,0.5998621,1.0631477,1.1079479,1.3380656
0.5810863,0.6050643,1.0725052,1.1175894,1.328961
0.5857843,0.6081249,1.0646802,1.1057025,1.3505888
0.5901125,0.6243315,1.0491084,1.1021614,1.3586394
0.5928919,0.6156979,1.0191578,1.0928421,1.3751999
0.5888482,0.5915712,1.0009688,1.0987602,1.3744415
0.5966138,0.5830853,0.9722852,1.1034745,1.3679401
0.6032463,0.6031319,0.9977149,1.1135454,1.397638
0.601969,0.6186703,0.990036,1.1524535,1.4286479
0.5883128,0.6039059,0.9634135,1.1754168,1.4720721
0.5833883,0.6050773,0.9841779,1.1893245,1.4820255
0.5755782,0.6017069,1.0101124,1.214095,1.4815339
0.5860994,0.6126649,1.0081135,1.2243814,1.4957622
0.5816717,0.5992691,1.014505,1.2101445,1.4638505
0.5660568,0.5946953,1.022789,1.2064313,1.4526111
0.570639,0.6030164,1.0042486,1.2096637,1.4535785
0.5609792,0.6128621,1.0064857,1.2364247,1.4638355
0.5473579,0.6134529,1.0209619,1.269994,1.4444082
0.5402532,0.6156133,1.0322503,1.2989607,1.4476055
0.538411,0.6053252,1.0315254,1.3288456,1.4393996
0.533359,0.5885425,1.0345222,1.3506,1.4722606
0.5275816,0.582611,1.0280688,1.3702128,1.4606385
0.516448,0.5861995,1.015853,1.3810639,1.4526305
0.5070657,0.6056544,1.0074317,1.3744073,1.4132072
0.4982975,0.6060374,1.0038313,1.3798348,1.4034137
0.4978375,0.6052275,0.9760042,1.3827865,1.3984864
0.4958847,0.6240613,0.9358201,1.3857809,1.3905764
0.4762086,0.6367994,0.9215622,1.400692,1.3862703
0.4747778,0.6348809,0.893432,1.4232389,1.3937948
0.4790799,0.634367,0.8829702,1.4088526,1.3803134
0.4967536,0.6361694,0.8536331,1.4082055,1.3658787
0.5076522,0.6257957,0.8470266,1.4182693,1.3421452
0.4954769,0.6282258,0.8206487,1.4385791,1.3316767
0.5019636,0.6113285,0.8224639,1.4456828,1.2968128
0.4813162,0.6132497,0.8293315,1.4593796,1.2992563
0.4771101,0.6295354,0.8078285,1.4608797,1.3012584
0.4828639,0.6416044,0.7865561,1.4745739,1.2788011
0.4819806,0.6600175,0.7888914,1.4806123,1.2600042
0.4952842,0.6973118,0.8034796,1.4810252,1.2547506
0.4944998,0.7028986,0.80479,1.4859366,1.2424185
0.4949821,0.7315539,0.8150781,1.4890435,1.2454404
0.4831498,0.7302665,0.825183,1.4935557,1.2102364
0.487437,0.7257468,0.8192735,1.5029335,1.2052407
0.4860742,0.7339085,0.8174185,1.5164599,1.2054909
0.4782459,0.7301343,0.822717,1.5124217,1.2138916
0.4845153,0.747366,0.8234645,1.5298014,1.2142872
0.4778553,0.7497302,0.8122729,1.5327424,1.2144728
0.4723127,0.7535772,0.8221623,1.5046417,1.1988829
0.469637,0.7711427,0.8138313,1.4992592,1.188213
0.476147,0.8097763,0.8194578,1.4870069,1.169282
0.4767784,0.7986344,0.826748,1.4925735,1.1639652
0.4711514,0.7937232,0.8164577,1.4957345,1.1595991
0.4691177,0.801935,0.8075774,1.4981815,1.1578506
0.4638573,0.8011332,0.7953385,1.5206282,1.1435331
0.4730796,0.8139008,0.7916797,1.5369205,1.1328293
0.4734481,0.8228317,0.8081198,1.5613672,1.1368064
0.4590445,0.830821,0.8175164,1.5958225,1.1437497
0.4498433,0.8210077,0.8173101,1.6156169,1.1624198
0.4456752,0.8373796,0.795781,1.6469557,1.1645762
0.4501183,0.8169898,0.7970281,1.6486028,1.1621
0.4519277,0.7991569,0.7919427,1.6418827,1.1934803
0.4569318,0.786207,0.7938613,1.660026,1.1943976
0.4485215,0.7925906,0.8086152,1.6594234,1.1773305
0.4445497,0.7958552,0.786825,1.6523494,1.1569279
0.4438061,0.7984352,0.7870843,1.6326587,1.1323445
0.4404286,0.8090087,0.7738429,1.6308148,1.1481541
0.4396181,0.8131839,0.7831223,1.6461538,1.1691715
0.442775,0.8043575,0.7886269,1.6220833,1.1881117
0.4489714,0.7790412,0.8134712,1.6118393,1.1790118
