Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.2627286,0.4975838,0.4895746,0.4572396,0.5023049,0.4938434,0.6498557,0.5696249,0.5454087,0.4429227,0.5402538
0.2632348,0.4998451,0.499356,0.4751497,0.5160912,0.4674493,0.66816,0.562157,0.5216441,0.4243492,0.5474633
0.261403,0.5294147,0.4864899,0.5232261,0.5128229,0.4718377,0.666456,0.5505366,0.5273541,0.4409992,0.5325056
0.2497799,0.49351,0.4734086,0.5133364,0.5057911,0.479905,0.6651689,0.5709662,0.5363664,0.4366538,0.5387043
0.2608381,0.5000927,0.4783334,0.5166253,0.5208609,0.5063094,0.6735675,0.5569551,0.5122536,0.4285019,0.5398563
0.2692515,0.5180489,0.482082,0.5128515,0.5111231,0.5091937,0.6727899,0.5779321,0.4994099,0.4414135,0.5491573
0.2645192,0.5427011,0.4932341,0.5315076,0.4973116,0.4989282,0.6756566,0.5969999,0.5087367,0.4273015,0.5300891
0.2776622,0.5365499,0.4976696,0.5441259,0.4709361,0.5269175,0.6785274,0.5887712,0.4784915,0.4209452,0.5458239
0.2817965,0.5233192,0.4890262,0.5773298,0.4551577,0.5312114,0.67174,0.5809301,0.5115079,0.4331079,0.5376194
0.2792501,0.5441833,0.4825447,0.5707398,0.4525872,0.5274823,0.6481584,0.5556161,0.5124023,0.4283123,0.5405
0.2902068,0.5282097,0.4986242,0.5672415,0.4821953,0.5089293,0.6319338,0.5568987,0.4878117,0.4306698,0.5408337
0.2931845,0.5556421,0.524471,0.554401,0.5063634,0.5096171,0.6383289,0.577424,0.4679297,0.4234176,0.5453691
0.2939788,0.5696126,0.5272356,0.5723969,0.515778,0.4875357,0.65033,0.5698515,0.4639454,0.416337,0.556083
0.2944548,0.5925952,0.5117269,0.5670866,0.5262207,0.489217,0.675948,0.5730307,0.4812386,0.4209667,0.5648103
0.2937918,0.5954714,0.5057681,0.5751076,0.5283092,0.5013871,0.6613684,0.5880013,0.5151922,0.4378121,0.5607945
0.3027751,0.5673102,0.5014724,0.5674286,0.5359671,0.5277812,0.6875739,0.5871109,0.4894808,0.489754,0.5809461
0.298003,0.5731108,0.4985766,0.5828577,0.5600647,0.5076748,0.6704303,0.5901048,0.4925718,0.4939154,0.5634552
0.2994247,0.5787711,0.5194612,0.5638228,0.5603662,0.5011976,0.654348,0.6023611,0.5059367,0.4697593,0.5714657
0.3015306,0.5872602,0.50271,0.5746711,0.5660621,0.516374,0.6427264,0.6042467,0.524761,0.4613525,0.5749801
0.3100955,0.5742946,0.5118555,0.5811873,0.5696936,0.5157425,0.6538157,0.6088375,0.5385616,0.4546038,0.5867168
0.3150171,0.5520166,0.5120097,0.5743004,0.5645326,0.5152103,0.6258013,0.5996415,0.5292691,0.4616432,0.5836446
0.3207154,0.5899263,0.5140079,0.5699107,0.5431461,0.4897757,0.6267048,0.584686,0.5350697,0.4720933,0.6005936
0.3148315,0.5941299,0.5327349,0.5865825,0.5355831,0.483117,0.6396465,0.5894709,0.5242783,0.4806863,0.6044765
0.3195955,0.5998925,0.548763,0.5866122,0.5189496,0.4851424,0.6587427,0.5844826,0.5325291,0.4825871,0.5874627
0.3104429,0.6102903,0.544975,0.5814708,0.5180078,0.4722372,0.6729776,0.581642,0.5391912,0.4749626,0.5967997
0.3278608,0.6181181,0.5499236,0.6010068,0.5023761,0.493627,0.6644784,0.5931428,0.5203832,0.4750481,0.6020877
0.3026391,0.6214548,0.5533558,0.5988219,0.4819735,0.4907087,0.6476668,0.5855123,0.5236026,0.490344,0.6015637
0.3004785,0.5985374,0.5349824,0.5908054,0.4563397,0.4783807,0.6343498,0.5792013,0.5271731,0.4973496,0.5828745
0.3073221,0.5976464,0.5441549,0.6007817,0.4794195,0.4814116,0.6371987,0.6178522,0.5407385,0.5025057,0.5764984
0.3107427,0.595918,0.5503826,0.5741843,0.486931,0.4927279,0.6610689,0.5993444,0.5478842,0.5217015,0.5771693
0.3208039,0.5913571,0.550777,0.5673653,0.4830625,0.4766906,0.7063791,0.6454257,0.5568857,0.5198741,0.5858874
0.3249398,0.5585316,0.5576065,0.5820367,0.473817,0.4802884,0.6917953,0.6411955,0.5575009,0.5166934,0.5875829
0.3166707,0.5842083,0.5707483,0.5601242,0.4801747,0.4953267,0.6743627,0.6408353,0.5559263,0.5259461,0.5817866
0.2989924,0.5810155,0.553907,0.5628421,0.4808702,0.5053565,0.6718006,0.6613551,0.5600398,0.5353273,0.5854747
0.326837,0.5691239,0.5685741,0.5513128,0.507661,0.4858944,0.6824173,0.68274,0.543036,0.5318392,0.593583
0.3149381,0.5814982,0.5494236,0.5453821,0.5172795,0.5002446,0.6744056,0.6983926,0.5465918,0.533017,0.6027859
0.3051275,0.5392099,0.5603469,0.5404464,0.4783373,0.4722743,0.6509833,0.6963214,0.5612453,0.5463703,0.5836708
0.2995596,0.5291392,0.5347709,0.556657,0.4887004,0.4858147,0.6364148,0.6938868,0.5540772,0.5353535,0.5609887
0.3122526,0.5224974,0.5316756,0.5427462,0.4738731,0.4827208,0.6362748,0.7102082,0.5605324,0.5447164,0.58232
0.2952853,0.5321918,0.5250943,0.553837,0.4799986,0.4827493,0.6432514,0.7008413,0.5589638,0.5155489,0.580596
0.301833,0.5192837,0.5166069,0.548322,0.479527,0.4720823,0.6626297,0.6980287,0.5896953,0.5472328,0.5912605
0.2920094,0.5310347,0.5190404,0.5617273,0.4938205,0.4860962,0.671119,0.7016807,0.5932637,0.5467251,0.5882874
0.2889062,0.5211073,0.5371541,0.5633933,0.4890095,0.482905,0.6867685,0.7219534,0.5948084,0.5481514,0.5866404
0.2915116,0.5394548,0.5118849,0.5568203,0.4838242,0.4867846,0.7170882,0.7193148,0.5912304,0.560214,0.5807042
0.2788198,0.551503,0.4995616,0.5477155,0.4826119,0.483341,0.7132131,0.7030531,0.5940437,0.5560746,0.5834449
0.2755284,0.5319139,0.5022717,0.5560451,0.5168595,0.4560826,0.7085743,0.6791217,0.6263186,0.5533834,0.6000023
0.2719252,0.5764682,0.4933693,0.5411839,0.5528707,0.4580157,0.701141,0.7008014,0.6365405,0.5592718,0.5831713
0.2851899,0.5448747,0.515484,0.5673332,0.5329142,0.4575465,0.6973542,0.6958182,0.6466944,0.5816873,0.5904621
0.276518,0.5171016,0.5272058,0.552587,0.5188827,0.4613177,0.6696405,0.7223417,0.6396769,0.5752918,0.5889304
0.2935793,0.514306,0.5431857,0.5644295,0.5079837,0.4691332,0.6564927,0.7260035,0.6329053,0.5615547,0.5746801
0.282627,0.5139112,0.5593984,0.554544,0.5415193,0.4719068,0.6913332,0.7312145,0.6278592,0.5713611,0.5840855
0.285762,0.5186837,0.5724563,0.5326737,0.5226985,0.4857044,0.6752362,0.7227998,0.6043069,0.5821856,0.5699239
0.2851878,0.5306768,0.5531465,0.5278682,0.5268822,0.4941145,0.652982,0.6824202,0.6545078,0.5779179,0.5693646
0.2800254,0.5251894,0.5437791,0.5269125,0.5362438,0.4870571,0.6598719,0.688761,0.6680354,0.5782037,0.5704514
0.3001481,0.5281324,0.5452849,0.5516021,0.519473,0.5006846,0.6453173,0.6918927,0.6622472,0.5736585,0.5540372
0.2926411,0.5247919,0.5562456,0.5512273,0.502332,0.4809539,0.6638724,0.7116266,0.6268329,0.568987,0.5496869
0.2892408,0.5116975,0.5686178,0.5317022,0.5195611,0.5033074,0.6465443,0.7168,0.630612,0.5468509,0.5655951
0.296287,0.5205539,0.5555279,0.5274283,0.537784,0.4868626,0.6369971,0.7097195,0.6459458,0.5601181,0.5434347
0.2815849,0.5146339,0.5573384,0.5098561,0.5118983,0.4842603,0.6497099,0.7209131,0.6694897,0.5718282,0.5485902
0.287613,0.5000818,0.5582005,0.524557,0.5212232,0.5068225,0.6379736,0.7090877,0.654593,0.5641571,0.5456215
0.2860537,0.5178999,0.5706125,0.4935945,0.5033238,0.4845323,0.6669533,0.7194647,0.6940151,0.5811043,0.5623406
